STUDY_ID	SAMPLE_ID	MYC	BASP1
all_phase2_target_2018_pub	TARGET-10-PAPHCJ-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPHEK-03	48.6994	1.4176
all_phase2_target_2018_pub	TARGET-10-PAPHEK-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPHJF-04	91.4016	9.781
all_phase2_target_2018_pub	TARGET-10-PAPHJF-09	51.2028	28.7323
all_phase2_target_2018_pub	TARGET-10-PAPHMH-09	98.462	4.4039
all_phase2_target_2018_pub	TARGET-10-PAPHXN-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPHXN-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPIDY-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPIDY-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPIJB-04	27.2488	0.26
all_phase2_target_2018_pub	TARGET-10-PAPIJB-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPIPW-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPIRZ-09	15.1384	9.7225
all_phase2_target_2018_pub	TARGET-10-PAPISG-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPISG-04	63.2618	0.3051
all_phase2_target_2018_pub	TARGET-10-PAPISG-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPJHB-04	21.2466	0.8995
all_phase2_target_2018_pub	TARGET-10-PAPJHB-09	10.2721	0.9401
all_phase2_target_2018_pub	TARGET-10-PAPJHR-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPJHR-09	10.0625	3.6023
all_phase2_target_2018_pub	TARGET-10-PAPJIB-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPJIB-04	17.1981	2.5696
all_phase2_target_2018_pub	TARGET-10-PAPJIB-09	47.7281	2.8186
all_phase2_target_2018_pub	TARGET-10-PAPJPH-03	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPJPH-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPJXI-04	16.0948	1.8154
all_phase2_target_2018_pub	TARGET-10-PAPJXI-09	15.7245	1.67
all_phase2_target_2018_pub	TARGET-10-PAPKGY-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPKGY-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPKNC-09	55.2073	6.8501
all_phase2_target_2018_pub	TARGET-10-PAPLDL-03	13.5526	2.4142
all_phase2_target_2018_pub	TARGET-10-PAPLDL-04	24.8528	0.449
all_phase2_target_2018_pub	TARGET-10-PAPLDL-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPLDM-04	10.6599	1.1181
all_phase2_target_2018_pub	TARGET-10-PAPLDM-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPLTZ-04	8.7983	64.787
all_phase2_target_2018_pub	TARGET-10-PAPLTZ-09	4.4169	26.6791
all_phase2_target_2018_pub	TARGET-10-PAPLUG-04	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPLUG-09	20.9497	3.8469
all_phase2_target_2018_pub	TARGET-10-PAPMFI-04	10.7761	1.8347
all_phase2_target_2018_pub	TARGET-10-PAPMFI-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPMVB-04	5.2969	3.2334
all_phase2_target_2018_pub	TARGET-10-PAPMVB-09	21.61	1.7651
all_phase2_target_2018_pub	TARGET-10-PAPMYD-03	18.2955	15.6532
all_phase2_target_2018_pub	TARGET-10-PAPMYD-09	NA	NA
all_phase2_target_2018_pub	TARGET-10-PAPNFY-03	13.2528	0.898
