STUDY_ID	SAMPLE_ID	MYC	PHB
coadread_dfci_2016	coadread_dfci_2016_2417	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2441	NA	NA
coadread_dfci_2016	coadread_dfci_2016_276701	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3414	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3178	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2214	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2359	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1845	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1205	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3660	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3351	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2263	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3316	NA	NA
coadread_dfci_2016	coadread_dfci_2016_295702	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1161	NA	NA
coadread_dfci_2016	coadread_dfci_2016_311	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2995	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3105	NA	NA
coadread_dfci_2016	coadread_dfci_2016_491	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3558	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2400	NA	NA
coadread_dfci_2016	coadread_dfci_2016_231	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2266	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3116	NA	NA
coadread_dfci_2016	coadread_dfci_2016_165	NA	NA
coadread_dfci_2016	coadread_dfci_2016_259101	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2454	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1747	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2289	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2406	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3062	NA	NA
coadread_dfci_2016	coadread_dfci_2016_214060	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3273	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1240	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2388	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3508	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1742	NA	NA
coadread_dfci_2016	coadread_dfci_2016_196972	NA	NA
coadread_dfci_2016	coadread_dfci_2016_471	NA	NA
coadread_dfci_2016	coadread_dfci_2016_621	NA	NA
coadread_dfci_2016	coadread_dfci_2016_229707	NA	NA
coadread_dfci_2016	coadread_dfci_2016_24	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3502	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1221	NA	NA
coadread_dfci_2016	coadread_dfci_2016_694	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3714	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3187	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3539	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3194	NA	NA
coadread_dfci_2016	coadread_dfci_2016_270588	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3549	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3709	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1183	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3104	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2984	NA	NA
coadread_dfci_2016	coadread_dfci_2016_463	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4505	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2974	NA	NA
coadread_dfci_2016	coadread_dfci_2016_647	NA	NA
coadread_dfci_2016	coadread_dfci_2016_691	NA	NA
coadread_dfci_2016	coadread_dfci_2016_103320	NA	NA
coadread_dfci_2016	coadread_dfci_2016_328	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3255	NA	NA
coadread_dfci_2016	coadread_dfci_2016_359705	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3112	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2413	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2763	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3645	NA	NA
coadread_dfci_2016	coadread_dfci_2016_2304	NA	NA
coadread_dfci_2016	coadread_dfci_2016_3261	NA	NA
coadread_dfci_2016	coadread_dfci_2016_693	NA	NA
coadread_dfci_2016	coadread_dfci_2016_418	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4534	NA	NA
coadread_dfci_2016	coadread_dfci_2016_180077	NA	NA
coadread_dfci_2016	coadread_dfci_2016_1187	NA	NA
coadread_dfci_2016	coadread_dfci_2016_46	NA	NA
coadread_dfci_2016	coadread_dfci_2016_4529	NA	NA
